Customer_ID,Age,Years_in_Business,Monthly_MPesa_Inflow,Airtime_Spend,Loan_Amount_Requested,Default_Status,Region
1124,74.0,6,,655.0,5000,0,Nairobi
1125,23.0,0,27168.0,611.0,5000,0,Nairobi
1126,45.0,14,8992.0,547.0,20000,0,NRB
1127,45.0,11,10268.0,450.0,2000,1,nairobi
1128,61.0,13,24406.0,740.0,KES 50000,1,Nairobi
1129,47.0,7,8283.0,528.0,2000,0,mombasa
1130,79.0,2,24232.0,107.0,20000,0,mombasa
1131,79.0,7,1666.0,277.0,5000,0,Mombasa
1132,18.0,14,17336.0,463.0,10000,1,nairobi
1133,44.0,4,30933.0,562.0,5000,1,MSA
1134,79.0,0,29229.0,489.0,KES 50000,1,mombasa
1135,20.0,6,,744.0,10000,0,Nairobi
1136,44.0,4,8971.0,110.0,5000,1,Nairobi
1137,26.0,5,,529.0,10000,0,NRB
1138,79.0,5,47423.0,136.0,2000,1,MSA
1139,54.0,7,30747.0,652.0,20000,1,Mombasa
1140,,8,43898.0,481.0,5000,1,mombasa
1141,61.0,1,8299.0,584.0,50000,0,NRB
1142,41.0,8,,327.0,2000,0,Mombasa
1143,,11,,756.0,5000,1,nairobi
1144,49.0,14,26785.0,708.0,2000,0,MSA
1145,69.0,10,12457.0,617.0,50000,0,nairobi
1146,79.0,9,59529.0,474.0,5000,0,nairobi
1147,75.0,8,40623.0,616.0,50000,0,Nairobi
1148,69.0,12,54792.0,359.0,10000,0,NRB
1149,29.0,9,30880.0,671.0,50000,0,mombasa
1150,56.0,14,13645.0,830.0,10000,0,NRB
1151,19.0,9,,714.0,KES 5000,1,mombasa
1152,20.0,6,59956.0,,10000,0,Nairobi
1153,,0,30850.0,,5000,0,nairobi
1154,76.0,6,11018.0,241.0,5000,1,MSA
1155,19.0,9,15319.0,614.0,20000,1,nairobi
1156,19.0,4,25755.0,590.0,5000,1,Mombasa
1157,71.0,5,,,10000,1,Mombasa
1158,18.0,9,78536.0,268.0,20000,0,MSA
1159,36.0,6,11844.0,443.0,20000,1,NRB
1160,19.0,13,,440.0,5000,1,mombasa
1161,70.0,14,15160.0,258.0,50000,0,NRB
1162,,4,7491.0,578.0,50000,0,Mombasa
1163,49.0,6,37983.0,550.0,20000,0,MSA
1164,49.0,8,27971.0,461.0,5000,1,Nairobi
1165,72.0,2,29301.0,349.0,50000,0,NRB
1166,73.0,7,21947.0,710.0,5000,1,Nairobi
1167,34.0,1,31364.0,831.0,5000,0,MSA
1168,55.0,10,30511.0,403.0,KES 20000,0,mombasa
1169,41.0,6,44980.0,378.0,20000,1,MSA
1170,28.0,12,12322.0,598.0,2000,0,Nairobi
1171,33.0,1,46458.0,428.0,50000,0,MSA
1172,76.0,14,42090.0,472.0,50000,0,mombasa
1173,20.0,13,,648.0,50000,0,Mombasa
1174,37.0,3,25592.0,118.0,10000,0,NRB
1175,76.0,6,23217.0,764.0,5000,1,Mombasa
1176,53.0,2,23373.0,515.0,20000,1,Mombasa
1177,36.0,1,25595.0,,50000,0,Nairobi
1178,84.0,10,5809.0,,2000,1,Nairobi
1179,36.0,9,,492.0,50000,1,Nairobi
1180,37.0,6,52144.0,154.0,5000,1,Nairobi
1181,69.0,0,79040.0,799.0,5000,0,Mombasa
1182,,13,39123.0,508.0,KES 20000,0,nairobi
1183,57.0,14,,589.0,KES 10000,0,Mombasa
1184,56.0,7,35448.0,690.0,20000,1,MSA
1185,18.0,2,,296.0,50000,1,nairobi
1186,28.0,11,11006.0,595.0,2000,0,NRB
1187,74.0,11,59156.0,446.0,20000,0,MSA
1188,67.0,12,17674.0,669.0,10000,1,nairobi
1189,40.0,1,,75.0,KES 20000,1,MSA
1190,,2,64776.0,480.0,5000,0,nairobi
1191,59.0,4,30779.0,379.0,50000,1,MSA
1192,24.0,10,65080.0,586.0,KES 50000,1,Nairobi
1193,,7,6123.0,594.0,50000,1,mombasa
1194,77.0,9,9113.0,358.0,KES 50000,1,NRB
1195,19.0,6,12279.0,358.0,50000,1,MSA
1196,18.0,6,4422.0,478.0,50000,1,Mombasa
1197,65.0,11,65167.0,321.0,2000,1,Mombasa
1198,29.0,6,55077.0,668.0,KES 10000,0,NRB
1199,54.0,14,15465.0,426.0,50000,0,Nairobi
1200,49.0,7,97065.0,-81.0,KES 10000,1,NRB
1201,26.0,0,19695.0,,KES 50000,1,NRB
1202,,3,81142.0,292.0,KES 20000,1,NRB
1203,65.0,12,82220.0,,KES 50000,0,Nairobi
1204,20.0,5,14748.0,253.0,5000,0,Mombasa
1205,37.0,8,44702.0,522.0,2000,1,Mombasa
1206,41.0,12,,766.0,20000,0,Nairobi
1207,71.0,1,,563.0,KES 20000,1,nairobi
1208,50.0,0,572.0,379.0,5000,1,MSA
1209,41.0,12,43939.0,,KES 50000,1,Mombasa
1210,53.0,9,11968.0,408.0,2000,1,nairobi
1211,55.0,11,22471.0,361.0,20000,1,mombasa
1212,42.0,13,28860.0,269.0,2000,1,MSA
1213,35.0,1,37915.0,,20000,1,nairobi
1214,83.0,6,18823.0,,50000,0,nairobi
1215,71.0,2,30417.0,532.0,20000,1,mombasa
1216,52.0,9,56136.0,481.0,20000,0,MSA
1217,78.0,1,3121.0,417.0,10000,1,Nairobi
1218,58.0,13,6423.0,311.0,50000,1,mombasa
1219,50.0,10,8456.0,622.0,5000,0,NRB
1220,50.0,6,16109.0,237.0,5000,0,mombasa
1221,31.0,12,43112.0,655.0,50000,1,Mombasa
1222,38.0,12,,300.0,5000,0,nairobi
1223,65.0,1,21412.0,350.0,50000,1,Nairobi
1224,37.0,2,21461.0,207.0,5000,1,NRB
1225,25.0,10,62751.0,400.0,10000,0,NRB
1226,24.0,6,29198.0,695.0,5000,0,MSA
1227,84.0,13,18364.0,603.0,20000,0,nairobi
1228,34.0,3,46797.0,696.0,50000,0,mombasa
1229,50.0,12,43298.0,604.0,2000,1,nairobi
1230,65.0,13,33463.0,279.0,2000,0,MSA
1231,76.0,0,15458.0,,KES 50000,0,Mombasa
1232,39.0,12,10459.0,344.0,10000,0,NRB
1233,47.0,13,11394.0,766.0,5000,0,Nairobi
1234,55.0,4,12003.0,261.0,10000,0,Mombasa
1235,68.0,11,11049.0,679.0,2000,1,NRB
1236,,8,16134.0,679.0,50000,1,MSA
1237,25.0,7,,,50000,0,NRB
1238,44.0,11,27020.0,418.0,10000,0,Mombasa
1239,44.0,14,8871.0,642.0,KES 10000,1,Mombasa
1240,38.0,8,30096.0,956.0,5000,0,NRB
1241,47.0,9,26730.0,376.0,KES 20000,1,MSA
1242,45.0,13,22938.0,,20000,1,Nairobi
1243,81.0,8,,124.0,5000,0,NRB
1244,78.0,14,9073.0,643.0,20000,1,Mombasa
1245,65.0,6,37667.0,123.0,2000,0,nairobi
1246,36.0,3,26581.0,426.0,KES 20000,0,MSA
1247,21.0,4,,,5000,1,mombasa
1248,52.0,0,17613.0,,20000,1,MSA
1249,81.0,13,15907.0,585.0,50000,0,NRB
1250,66.0,0,50334.0,544.0,10000,1,mombasa
1251,34.0,2,,756.0,2000,0,MSA
1252,61.0,12,28067.0,310.0,50000,1,mombasa
1253,47.0,13,23433.0,365.0,50000,1,Mombasa
1254,63.0,7,12137.0,345.0,5000,0,Mombasa
1255,23.0,13,17284.0,666.0,KES 10000,0,Nairobi
1256,,1,87619.0,680.0,10000,0,Nairobi
1257,41.0,3,13608.0,590.0,KES 2000,1,Mombasa
1258,63.0,1,26456.0,737.0,5000,0,Nairobi
1259,70.0,13,14444.0,264.0,2000,0,nairobi
1260,77.0,4,23877.0,833.0,20000,1,MSA
1261,80.0,8,13630.0,805.0,50000,1,nairobi
1262,49.0,0,16361.0,647.0,2000,0,mombasa
1263,50.0,4,6151.0,856.0,KES 50000,0,nairobi
1264,84.0,13,26885.0,169.0,5000,0,Nairobi
1265,35.0,14,,395.0,20000,0,nairobi
1266,42.0,8,36269.0,353.0,5000,1,MSA
1267,71.0,14,23836.0,644.0,20000,1,nairobi
1268,75.0,0,13286.0,290.0,20000,0,mombasa
1269,84.0,8,,651.0,50000,0,nairobi
1270,63.0,7,24896.0,774.0,KES 5000,0,Mombasa
1271,41.0,3,59898.0,639.0,5000,1,MSA
1272,,11,15533.0,557.0,2000,0,Nairobi
1273,64.0,10,3665.0,302.0,5000,0,MSA
1274,40.0,9,,331.0,2000,1,NRB
1275,83.0,4,55789.0,750.0,10000,1,mombasa
1276,44.0,12,36901.0,656.0,KES 10000,0,Mombasa
1277,19.0,4,8043.0,492.0,10000,0,MSA
1278,34.0,10,27350.0,416.0,5000,1,MSA
1279,50.0,11,44872.0,95.0,5000,0,MSA
1280,26.0,5,17598.0,286.0,2000,0,nairobi
1281,60.0,6,15840.0,882.0,20000,1,Nairobi
1282,65.0,7,16284.0,244.0,2000,1,Mombasa
1283,56.0,14,,,10000,1,nairobi
1284,59.0,13,8563.0,701.0,2000,0,nairobi
1285,43.0,7,28895.0,,20000,1,nairobi
1286,67.0,10,29969.0,537.0,5000,1,mombasa
1287,42.0,13,30492.0,,2000,0,Nairobi
1288,41.0,12,24138.0,502.0,10000,0,NRB
1289,30.0,1,8320.0,1074.0,10000,1,MSA
1290,,8,20376.0,166.0,5000,1,NRB
1291,24.0,6,,712.0,2000,0,Nairobi
1292,74.0,3,29592.0,465.0,20000,0,nairobi
1293,53.0,3,12422.0,654.0,5000,1,NRB
1294,62.0,10,38420.0,588.0,2000,1,Mombasa
1295,37.0,7,78894.0,353.0,KES 50000,0,Mombasa
1296,82.0,3,32427.0,546.0,10000,1,mombasa
1297,25.0,12,21932.0,128.0,KES 20000,0,nairobi
1298,33.0,14,59776.0,621.0,20000,1,Nairobi
1299,31.0,5,16538.0,560.0,KES 20000,0,NRB
1300,32.0,4,49571.0,628.0,10000,0,MSA
1301,83.0,2,15573.0,712.0,2000,1,NRB
1302,49.0,12,17860.0,574.0,5000,1,MSA
1303,80.0,13,42894.0,530.0,KES 2000,0,mombasa
1304,68.0,9,58099.0,,KES 5000,1,nairobi
1305,42.0,10,23058.0,358.0,20000,1,nairobi
1306,75.0,1,57021.0,737.0,KES 2000,1,nairobi
1307,80.0,8,32928.0,787.0,20000,0,Mombasa
1308,79.0,9,12609.0,452.0,50000,1,MSA
1309,39.0,8,,,20000,1,Mombasa
1310,75.0,0,36589.0,319.0,20000,0,nairobi
1311,75.0,9,62229.0,735.0,5000,1,Mombasa
1312,,2,50181.0,633.0,50000,1,mombasa
1313,69.0,7,50680.0,888.0,KES 20000,0,mombasa
1314,59.0,5,7188.0,,20000,0,mombasa
1315,,4,41794.0,424.0,50000,1,MSA
1316,71.0,4,40281.0,546.0,KES 50000,1,mombasa
1317,77.0,5,,629.0,2000,0,Mombasa
1318,,14,39828.0,457.0,5000,0,NRB
1319,,6,4386.0,325.0,50000,1,NRB
1320,77.0,0,1749.0,676.0,50000,1,NRB
1321,22.0,8,30225.0,644.0,KES 10000,1,NRB
1322,23.0,2,23791.0,317.0,KES 50000,0,mombasa
1323,64.0,3,20945.0,771.0,5000,1,nairobi
1324,72.0,9,34087.0,734.0,KES 20000,0,mombasa
1325,57.0,0,28990.0,527.0,20000,0,nairobi
1326,69.0,12,31654.0,516.0,20000,0,NRB
1327,33.0,10,46459.0,611.0,20000,1,MSA
1328,30.0,9,16124.0,328.0,10000,1,Nairobi
1329,47.0,2,32168.0,506.0,50000,1,NRB
1330,36.0,1,14464.0,70.0,KES 20000,0,MSA
1331,34.0,1,3380.0,675.0,2000,1,Mombasa
1332,80.0,13,19690.0,188.0,20000,0,Nairobi
1333,,0,51347.0,801.0,KES 50000,0,Nairobi
1334,75.0,7,11724.0,,20000,0,NRB
1335,72.0,2,34245.0,458.0,KES 10000,0,nairobi
1336,79.0,2,46767.0,374.0,5000,0,NRB
1337,40.0,5,42086.0,,5000,0,nairobi
1338,26.0,12,,784.0,50000,1,nairobi
1339,29.0,7,13312.0,2.0,5000,0,MSA
1340,18.0,12,25705.0,755.0,5000,1,NRB
1341,75.0,14,30494.0,568.0,KES 2000,0,Nairobi
1342,18.0,8,39605.0,259.0,50000,1,Nairobi
1343,,8,39905.0,285.0,KES 50000,1,MSA
1344,65.0,3,121512.0,835.0,5000,1,mombasa
1345,18.0,13,65787.0,311.0,5000,1,Nairobi
1346,33.0,4,,269.0,KES 5000,0,Mombasa
1347,,1,91941.0,727.0,KES 10000,0,nairobi
1348,81.0,10,9047.0,568.0,KES 20000,0,Nairobi
1349,80.0,8,10052.0,312.0,10000,0,Nairobi
1350,39.0,7,43431.0,543.0,KES 50000,1,mombasa
1351,84.0,2,20353.0,295.0,2000,1,Nairobi
1352,43.0,10,65973.0,720.0,20000,1,mombasa
1353,33.0,11,38800.0,712.0,2000,0,Nairobi
1354,68.0,12,23012.0,606.0,50000,1,mombasa
1355,74.0,8,21597.0,,KES 50000,0,Nairobi
1356,46.0,2,20974.0,852.0,2000,1,nairobi
1357,64.0,8,2531.0,500.0,2000,1,Nairobi
1358,79.0,1,11373.0,264.0,KES 2000,1,NRB
1359,33.0,11,14148.0,590.0,KES 50000,1,NRB
1360,,9,52430.0,,5000,1,nairobi
1361,56.0,8,15401.0,297.0,2000,0,MSA
1362,50.0,14,33042.0,428.0,20000,1,nairobi
1363,40.0,7,21665.0,583.0,50000,0,NRB
1364,27.0,8,,489.0,KES 10000,0,Nairobi
1365,51.0,4,,304.0,10000,0,Mombasa
1366,69.0,10,24642.0,724.0,KES 20000,0,Mombasa
1367,27.0,10,,964.0,KES 5000,0,Nairobi
1368,36.0,1,,539.0,2000,0,nairobi
1369,75.0,7,14368.0,319.0,50000,0,mombasa
1370,18.0,11,44802.0,190.0,2000,0,Nairobi
1371,,14,21648.0,,50000,1,NRB
1372,33.0,5,47420.0,721.0,10000,1,nairobi
1373,41.0,7,15899.0,595.0,2000,0,NRB
1374,19.0,10,27912.0,500.0,20000,0,NRB
1375,49.0,4,14885.0,382.0,5000,0,Nairobi
1376,41.0,9,12098.0,282.0,20000,1,Nairobi
1377,29.0,1,1982.0,667.0,5000,1,NRB
1378,,5,67550.0,683.0,KES 2000,0,mombasa
1379,52.0,4,16647.0,191.0,2000,0,nairobi
1380,50.0,11,36281.0,818.0,KES 5000,1,Mombasa
1381,50.0,12,21880.0,615.0,KES 10000,1,mombasa
1382,78.0,11,55394.0,780.0,50000,0,nairobi
1383,68.0,4,4211.0,232.0,20000,0,nairobi
1384,60.0,12,29221.0,227.0,20000,0,MSA
1385,29.0,0,42765.0,470.0,20000,0,nairobi
1386,84.0,1,26147.0,,KES 2000,1,Nairobi
1387,82.0,7,13173.0,,KES 20000,1,nairobi
1388,50.0,12,4433.0,,50000,0,mombasa
1389,57.0,13,14467.0,451.0,50000,0,MSA
1390,60.0,12,3015.0,295.0,5000,0,MSA
1391,61.0,2,42041.0,746.0,KES 2000,1,Nairobi
1392,46.0,9,35275.0,307.0,KES 50000,0,MSA
1393,30.0,2,45210.0,826.0,10000,0,MSA
1394,29.0,7,10815.0,443.0,2000,0,Nairobi
1395,63.0,7,9230.0,818.0,2000,1,nairobi
1396,19.0,1,36684.0,636.0,50000,0,mombasa
1397,52.0,7,,473.0,10000,1,NRB
1398,25.0,10,3727.0,396.0,KES 5000,0,Nairobi
1399,43.0,12,13836.0,,KES 50000,0,MSA
1400,51.0,12,69993.0,586.0,10000,0,Mombasa
1401,24.0,0,43339.0,515.0,2000,1,MSA
1402,75.0,5,20409.0,381.0,KES 10000,0,mombasa
1403,46.0,7,8086.0,467.0,2000,0,MSA
1404,53.0,2,10589.0,516.0,50000,1,NRB
1405,38.0,7,17561.0,74.0,50000,1,MSA
1406,53.0,11,6409.0,592.0,20000,1,Nairobi
1407,27.0,0,56625.0,,KES 20000,0,Mombasa
1408,41.0,10,53254.0,,20000,1,Mombasa
1409,81.0,10,8372.0,163.0,50000,0,Mombasa
1410,66.0,8,,141.0,5000,1,Nairobi
1411,53.0,12,17077.0,229.0,50000,1,Nairobi
1412,41.0,10,25107.0,,KES 10000,1,Nairobi
1413,40.0,12,16873.0,891.0,KES 50000,0,MSA
1414,79.0,8,9194.0,395.0,50000,0,nairobi
1415,54.0,4,18628.0,536.0,2000,0,mombasa
1416,29.0,9,,580.0,2000,0,Nairobi
1417,72.0,3,18737.0,526.0,KES 2000,0,mombasa
1418,30.0,14,23234.0,485.0,50000,0,mombasa
1419,40.0,10,29702.0,261.0,5000,0,mombasa
1420,47.0,5,5467.0,790.0,10000,0,Mombasa
1421,34.0,11,5851.0,,10000,0,NRB
1422,79.0,6,28720.0,,5000,1,nairobi
1423,30.0,4,8402.0,295.0,KES 5000,1,nairobi
1424,,10,20992.0,444.0,10000,0,mombasa
1425,36.0,12,57108.0,307.0,20000,0,Mombasa
1426,66.0,9,7665.0,601.0,2000,0,mombasa
1427,29.0,8,11711.0,354.0,2000,0,NRB
1428,78.0,2,48622.0,933.0,10000,1,mombasa
1429,36.0,14,3698.0,738.0,5000,1,Nairobi
1430,26.0,6,,543.0,20000,0,Nairobi
1431,45.0,9,31088.0,705.0,KES 10000,1,NRB
1432,,9,46776.0,721.0,2000,1,MSA
1433,33.0,10,17291.0,387.0,50000,0,Mombasa
1434,29.0,4,7539.0,337.0,5000,0,Mombasa
1435,42.0,13,29962.0,516.0,50000,0,Mombasa
1436,69.0,6,30510.0,672.0,KES 10000,0,NRB
1437,,14,77290.0,528.0,KES 2000,1,nairobi
1438,40.0,1,18628.0,185.0,KES 20000,0,MSA
1439,33.0,3,30826.0,339.0,50000,1,Mombasa
1440,,1,22664.0,485.0,20000,0,MSA
1441,56.0,13,8474.0,485.0,2000,1,mombasa
1442,70.0,12,30276.0,895.0,50000,0,nairobi
1443,59.0,12,51216.0,223.0,20000,0,Mombasa
1444,75.0,11,39549.0,601.0,20000,1,Nairobi
1445,56.0,6,13421.0,798.0,KES 50000,1,NRB
1446,31.0,1,20132.0,954.0,2000,1,NRB
1447,22.0,12,55981.0,419.0,20000,0,Mombasa
1448,52.0,13,19027.0,598.0,10000,1,MSA
1449,35.0,10,55053.0,614.0,50000,1,Nairobi
1450,,0,21246.0,539.0,5000,1,Nairobi
1451,75.0,8,22471.0,480.0,5000,1,Nairobi
1452,,0,49905.0,587.0,KES 2000,1,MSA
1453,24.0,7,85275.0,-6.0,10000,1,mombasa
1454,63.0,14,20610.0,636.0,20000,1,mombasa
1455,30.0,1,17872.0,525.0,KES 5000,1,MSA
1456,,11,13144.0,456.0,2000,1,mombasa
1457,59.0,7,11372.0,909.0,10000,0,mombasa
1458,26.0,12,13956.0,365.0,10000,0,mombasa
1459,67.0,2,,419.0,2000,1,NRB
1460,44.0,5,45528.0,,2000,0,Mombasa
1461,83.0,2,,,20000,0,Mombasa
1462,,13,41577.0,390.0,2000,1,NRB
1463,46.0,6,41075.0,471.0,KES 20000,1,Mombasa
1464,54.0,9,55601.0,668.0,20000,1,nairobi
1465,55.0,8,,542.0,50000,1,MSA
1466,25.0,1,29330.0,241.0,10000,1,Nairobi
1467,82.0,14,4790.0,394.0,10000,1,nairobi
1468,34.0,11,4839.0,379.0,10000,0,MSA
1469,62.0,11,27125.0,485.0,50000,1,Nairobi
1470,21.0,14,22480.0,585.0,20000,0,nairobi
1471,53.0,13,25589.0,584.0,20000,1,MSA
1472,48.0,4,38735.0,145.0,2000,1,mombasa
1473,36.0,12,65087.0,713.0,50000,0,mombasa
1474,78.0,5,25060.0,551.0,2000,1,Mombasa
1475,71.0,3,22004.0,777.0,50000,1,Mombasa
1476,56.0,3,13623.0,589.0,2000,0,Mombasa
1477,,3,46000.0,,5000,1,mombasa
1478,56.0,1,14678.0,593.0,10000,0,NRB
1479,84.0,3,19987.0,769.0,10000,1,mombasa
1480,62.0,10,39380.0,,KES 20000,1,MSA
1481,30.0,0,26559.0,480.0,5000,0,Nairobi
1482,75.0,11,,954.0,10000,1,MSA
1483,37.0,5,11833.0,678.0,KES 20000,0,nairobi
1484,78.0,0,32065.0,615.0,5000,0,MSA
1485,56.0,9,95791.0,245.0,10000,0,Nairobi
1486,18.0,5,7413.0,242.0,2000,1,MSA
1487,20.0,0,9123.0,559.0,50000,1,MSA
1488,79.0,5,43412.0,529.0,5000,0,NRB
1489,,9,29867.0,377.0,20000,1,mombasa
1490,42.0,7,62011.0,528.0,5000,1,NRB
1491,73.0,10,13249.0,818.0,KES 20000,1,nairobi
1492,50.0,1,46496.0,639.0,5000,0,Nairobi
1493,55.0,1,32070.0,272.0,20000,1,nairobi
1494,,13,10775.0,478.0,10000,0,Mombasa
1495,75.0,14,14729.0,339.0,2000,1,Mombasa
1496,61.0,12,,422.0,10000,1,Nairobi
1497,62.0,11,11789.0,417.0,2000,0,nairobi
1498,49.0,3,53745.0,404.0,10000,1,Nairobi
1499,62.0,10,41932.0,249.0,10000,0,nairobi
1500,78.0,2,16688.0,474.0,5000,1,NRB
1501,64.0,3,22035.0,388.0,50000,0,Mombasa
