,Customer_ID,Age,Years_in_Business,Monthly_MPesa_Inflow,Airtime_Spend,Loan_Amount_Requested,Default_Status,Region
171,1172,76.0,14,42090.0,472.0,50000,0,Mombasa
172,1173,20.0,13,24131.5,648.0,50000,0,Mombasa
173,1174,37.0,3,25592.0,118.0,10000,0,Nairobi
174,1175,76.0,6,23217.0,764.0,5000,1,Mombasa
175,1176,53.0,2,23373.0,515.0,20000,1,Mombasa
178,1179,36.0,9,24131.5,492.0,50000,1,Nairobi
179,1180,37.0,6,52144.0,154.0,5000,1,Nairobi
180,1181,69.0,0,79040.0,799.0,5000,0,Mombasa
182,1183,57.0,14,24131.5,589.0,KES 10000,0,Mombasa
183,1184,56.0,7,35448.0,690.0,20000,1,Mombasa
184,1185,18.0,2,24131.5,296.0,50000,1,Nairobi
185,1186,28.0,11,11006.0,595.0,2000,0,Nairobi
186,1187,74.0,11,59156.0,446.0,20000,0,Mombasa
187,1188,67.0,12,17674.0,669.0,10000,1,Nairobi
188,1189,40.0,1,24131.5,75.0,KES 20000,1,Mombasa
190,1191,59.0,4,30779.0,379.0,50000,1,Mombasa
191,1192,24.0,10,65080.0,586.0,KES 50000,1,Nairobi
193,1194,77.0,9,9113.0,358.0,KES 50000,1,Nairobi
194,1195,19.0,6,12279.0,358.0,50000,1,Mombasa
195,1196,18.0,6,4422.0,478.0,50000,1,Mombasa
196,1197,65.0,11,65167.0,321.0,2000,1,Mombasa
197,1198,29.0,6,55077.0,668.0,KES 10000,0,Nairobi
198,1199,54.0,14,15465.0,426.0,50000,0,Nairobi
203,1204,20.0,5,14748.0,253.0,5000,0,Mombasa
204,1205,37.0,8,44702.0,522.0,2000,1,Mombasa
205,1206,41.0,12,24131.5,766.0,20000,0,Nairobi
206,1207,71.0,1,24131.5,563.0,KES 20000,1,Nairobi
207,1208,50.0,0,572.0,379.0,5000,1,Mombasa
209,1210,53.0,9,11968.0,408.0,2000,1,Nairobi
210,1211,55.0,11,22471.0,361.0,20000,1,Mombasa
211,1212,42.0,13,28860.0,269.0,2000,1,Mombasa
214,1215,71.0,2,30417.0,532.0,20000,1,Mombasa
215,1216,52.0,9,56136.0,481.0,20000,0,Mombasa
216,1217,78.0,1,3121.0,417.0,10000,1,Nairobi
217,1218,58.0,13,6423.0,311.0,50000,1,Mombasa
218,1219,50.0,10,8456.0,622.0,5000,0,Nairobi
219,1220,50.0,6,16109.0,237.0,5000,0,Mombasa
220,1221,31.0,12,43112.0,655.0,50000,1,Mombasa
221,1222,38.0,12,24131.5,300.0,5000,0,Nairobi
222,1223,65.0,1,21412.0,350.0,50000,1,Nairobi
223,1224,37.0,2,21461.0,207.0,5000,1,Nairobi
224,1225,25.0,10,62751.0,400.0,10000,0,Nairobi
225,1226,24.0,6,29198.0,695.0,5000,0,Mombasa
226,1227,84.0,13,18364.0,603.0,20000,0,Nairobi
227,1228,34.0,3,46797.0,696.0,50000,0,Mombasa
228,1229,50.0,12,43298.0,604.0,2000,1,Nairobi
229,1230,65.0,13,33463.0,279.0,2000,0,Mombasa
231,1232,39.0,12,10459.0,344.0,10000,0,Nairobi
232,1233,47.0,13,11394.0,766.0,5000,0,Nairobi
233,1234,55.0,4,12003.0,261.0,10000,0,Mombasa
234,1235,68.0,11,11049.0,679.0,2000,1,Nairobi
237,1238,44.0,11,27020.0,418.0,10000,0,Mombasa
238,1239,44.0,14,8871.0,642.0,KES 10000,1,Mombasa
239,1240,38.0,8,30096.0,956.0,5000,0,Nairobi
240,1241,47.0,9,26730.0,376.0,KES 20000,1,Mombasa
242,1243,81.0,8,24131.5,124.0,5000,0,Nairobi
243,1244,78.0,14,9073.0,643.0,20000,1,Mombasa
244,1245,65.0,6,37667.0,123.0,2000,0,Nairobi
245,1246,36.0,3,26581.0,426.0,KES 20000,0,Mombasa
248,1249,81.0,13,15907.0,585.0,50000,0,Nairobi
249,1250,66.0,0,50334.0,544.0,10000,1,Mombasa
250,1251,34.0,2,24131.5,756.0,2000,0,Mombasa
251,1252,61.0,12,28067.0,310.0,50000,1,Mombasa
252,1253,47.0,13,23433.0,365.0,50000,1,Mombasa
253,1254,63.0,7,12137.0,345.0,5000,0,Mombasa
254,1255,23.0,13,17284.0,666.0,KES 10000,0,Nairobi
256,1257,41.0,3,13608.0,590.0,KES 2000,1,Mombasa
257,1258,63.0,1,26456.0,737.0,5000,0,Nairobi
258,1259,70.0,13,14444.0,264.0,2000,0,Nairobi
259,1260,77.0,4,23877.0,833.0,20000,1,Mombasa
260,1261,80.0,8,13630.0,805.0,50000,1,Nairobi
261,1262,49.0,0,16361.0,647.0,2000,0,Mombasa
262,1263,50.0,4,6151.0,856.0,KES 50000,0,Nairobi
263,1264,84.0,13,26885.0,169.0,5000,0,Nairobi
264,1265,35.0,14,24131.5,395.0,20000,0,Nairobi
265,1266,42.0,8,36269.0,353.0,5000,1,Mombasa
266,1267,71.0,14,23836.0,644.0,20000,1,Nairobi
267,1268,75.0,0,13286.0,290.0,20000,0,Mombasa
268,1269,84.0,8,24131.5,651.0,50000,0,Nairobi
269,1270,63.0,7,24896.0,774.0,KES 5000,0,Mombasa
270,1271,41.0,3,59898.0,639.0,5000,1,Mombasa
272,1273,64.0,10,3665.0,302.0,5000,0,Mombasa
273,1274,40.0,9,24131.5,331.0,2000,1,Nairobi
274,1275,83.0,4,55789.0,750.0,10000,1,Mombasa
275,1276,44.0,12,36901.0,656.0,KES 10000,0,Mombasa
276,1277,19.0,4,8043.0,492.0,10000,0,Mombasa
277,1278,34.0,10,27350.0,416.0,5000,1,Mombasa
278,1279,50.0,11,44872.0,95.0,5000,0,Mombasa
279,1280,26.0,5,17598.0,286.0,2000,0,Nairobi
280,1281,60.0,6,15840.0,882.0,20000,1,Nairobi
281,1282,65.0,7,16284.0,244.0,2000,1,Mombasa
283,1284,59.0,13,8563.0,701.0,2000,0,Nairobi
285,1286,67.0,10,29969.0,537.0,5000,1,Mombasa
287,1288,41.0,12,24138.0,502.0,10000,0,Nairobi
288,1289,30.0,1,8320.0,1074.0,10000,1,Mombasa
290,1291,24.0,6,24131.5,712.0,2000,0,Nairobi
291,1292,74.0,3,29592.0,465.0,20000,0,Nairobi
292,1293,53.0,3,12422.0,654.0,5000,1,Nairobi
293,1294,62.0,10,38420.0,588.0,2000,1,Mombasa
294,1295,37.0,7,78894.0,353.0,KES 50000,0,Mombasa
295,1296,82.0,3,32427.0,546.0,10000,1,Mombasa
296,1297,25.0,12,21932.0,128.0,KES 20000,0,Nairobi
297,1298,33.0,14,59776.0,621.0,20000,1,Nairobi
298,1299,31.0,5,16538.0,560.0,KES 20000,0,Nairobi
299,1300,32.0,4,49571.0,628.0,10000,0,Mombasa
300,1301,83.0,2,15573.0,712.0,2000,1,Nairobi
301,1302,49.0,12,17860.0,574.0,5000,1,Mombasa
302,1303,80.0,13,42894.0,530.0,KES 2000,0,Mombasa
304,1305,42.0,10,23058.0,358.0,20000,1,Nairobi
305,1306,75.0,1,57021.0,737.0,KES 2000,1,Nairobi
306,1307,80.0,8,32928.0,787.0,20000,0,Mombasa
307,1308,79.0,9,12609.0,452.0,50000,1,Mombasa
309,1310,75.0,0,36589.0,319.0,20000,0,Nairobi
310,1311,75.0,9,62229.0,735.0,5000,1,Mombasa
312,1313,69.0,7,50680.0,888.0,KES 20000,0,Mombasa
315,1316,71.0,4,40281.0,546.0,KES 50000,1,Mombasa
316,1317,77.0,5,24131.5,629.0,2000,0,Mombasa
319,1320,77.0,0,1749.0,676.0,50000,1,Nairobi
320,1321,22.0,8,30225.0,644.0,KES 10000,1,Nairobi
321,1322,23.0,2,23791.0,317.0,KES 50000,0,Mombasa
322,1323,64.0,3,20945.0,771.0,5000,1,Nairobi
323,1324,72.0,9,34087.0,734.0,KES 20000,0,Mombasa
324,1325,57.0,0,28990.0,527.0,20000,0,Nairobi
325,1326,69.0,12,31654.0,516.0,20000,0,Nairobi
326,1327,33.0,10,46459.0,611.0,20000,1,Mombasa
327,1328,30.0,9,16124.0,328.0,10000,1,Nairobi
328,1329,47.0,2,32168.0,506.0,50000,1,Nairobi
329,1330,36.0,1,14464.0,70.0,KES 20000,0,Mombasa
330,1331,34.0,1,3380.0,675.0,2000,1,Mombasa
331,1332,80.0,13,19690.0,188.0,20000,0,Nairobi
334,1335,72.0,2,34245.0,458.0,KES 10000,0,Nairobi
335,1336,79.0,2,46767.0,374.0,5000,0,Nairobi
337,1338,26.0,12,24131.5,784.0,50000,1,Nairobi
338,1339,29.0,7,13312.0,2.0,5000,0,Mombasa
339,1340,18.0,12,25705.0,755.0,5000,1,Nairobi
340,1341,75.0,14,30494.0,568.0,KES 2000,0,Nairobi
341,1342,18.0,8,39605.0,259.0,50000,1,Nairobi
343,1344,65.0,3,121512.0,835.0,5000,1,Mombasa
344,1345,18.0,13,65787.0,311.0,5000,1,Nairobi
345,1346,33.0,4,24131.5,269.0,KES 5000,0,Mombasa
347,1348,81.0,10,9047.0,568.0,KES 20000,0,Nairobi
348,1349,80.0,8,10052.0,312.0,10000,0,Nairobi
349,1350,39.0,7,43431.0,543.0,KES 50000,1,Mombasa
350,1351,84.0,2,20353.0,295.0,2000,1,Nairobi
351,1352,43.0,10,65973.0,720.0,20000,1,Mombasa
352,1353,33.0,11,38800.0,712.0,2000,0,Nairobi
353,1354,68.0,12,23012.0,606.0,50000,1,Mombasa
355,1356,46.0,2,20974.0,852.0,2000,1,Nairobi
356,1357,64.0,8,2531.0,500.0,2000,1,Nairobi
357,1358,79.0,1,11373.0,264.0,KES 2000,1,Nairobi
358,1359,33.0,11,14148.0,590.0,KES 50000,1,Nairobi
360,1361,56.0,8,15401.0,297.0,2000,0,Mombasa
361,1362,50.0,14,33042.0,428.0,20000,1,Nairobi
362,1363,40.0,7,21665.0,583.0,50000,0,Nairobi
363,1364,27.0,8,24131.5,489.0,KES 10000,0,Nairobi
364,1365,51.0,4,24131.5,304.0,10000,0,Mombasa
365,1366,69.0,10,24642.0,724.0,KES 20000,0,Mombasa
366,1367,27.0,10,24131.5,964.0,KES 5000,0,Nairobi
367,1368,36.0,1,24131.5,539.0,2000,0,Nairobi
368,1369,75.0,7,14368.0,319.0,50000,0,Mombasa
369,1370,18.0,11,44802.0,190.0,2000,0,Nairobi
371,1372,33.0,5,47420.0,721.0,10000,1,Nairobi
372,1373,41.0,7,15899.0,595.0,2000,0,Nairobi
373,1374,19.0,10,27912.0,500.0,20000,0,Nairobi
374,1375,49.0,4,14885.0,382.0,5000,0,Nairobi
375,1376,41.0,9,12098.0,282.0,20000,1,Nairobi
376,1377,29.0,1,1982.0,667.0,5000,1,Nairobi
378,1379,52.0,4,16647.0,191.0,2000,0,Nairobi
379,1380,50.0,11,36281.0,818.0,KES 5000,1,Mombasa
380,1381,50.0,12,21880.0,615.0,KES 10000,1,Mombasa
381,1382,78.0,11,55394.0,780.0,50000,0,Nairobi
382,1383,68.0,4,4211.0,232.0,20000,0,Nairobi
383,1384,60.0,12,29221.0,227.0,20000,0,Mombasa
384,1385,29.0,0,42765.0,470.0,20000,0,Nairobi
388,1389,57.0,13,14467.0,451.0,50000,0,Mombasa
389,1390,60.0,12,3015.0,295.0,5000,0,Mombasa
390,1391,61.0,2,42041.0,746.0,KES 2000,1,Nairobi
391,1392,46.0,9,35275.0,307.0,KES 50000,0,Mombasa
392,1393,30.0,2,45210.0,826.0,10000,0,Mombasa
393,1394,29.0,7,10815.0,443.0,2000,0,Nairobi
394,1395,63.0,7,9230.0,818.0,2000,1,Nairobi
395,1396,19.0,1,36684.0,636.0,50000,0,Mombasa
396,1397,52.0,7,24131.5,473.0,10000,1,Nairobi
397,1398,25.0,10,3727.0,396.0,KES 5000,0,Nairobi
399,1400,51.0,12,69993.0,586.0,10000,0,Mombasa
400,1401,24.0,0,43339.0,515.0,2000,1,Mombasa
401,1402,75.0,5,20409.0,381.0,KES 10000,0,Mombasa
402,1403,46.0,7,8086.0,467.0,2000,0,Mombasa
403,1404,53.0,2,10589.0,516.0,50000,1,Nairobi
404,1405,38.0,7,17561.0,74.0,50000,1,Mombasa
405,1406,53.0,11,6409.0,592.0,20000,1,Nairobi
408,1409,81.0,10,8372.0,163.0,50000,0,Mombasa
409,1410,66.0,8,24131.5,141.0,5000,1,Nairobi
410,1411,53.0,12,17077.0,229.0,50000,1,Nairobi
412,1413,40.0,12,16873.0,891.0,KES 50000,0,Mombasa
413,1414,79.0,8,9194.0,395.0,50000,0,Nairobi
414,1415,54.0,4,18628.0,536.0,2000,0,Mombasa
415,1416,29.0,9,24131.5,580.0,2000,0,Nairobi
416,1417,72.0,3,18737.0,526.0,KES 2000,0,Mombasa
417,1418,30.0,14,23234.0,485.0,50000,0,Mombasa
418,1419,40.0,10,29702.0,261.0,5000,0,Mombasa
419,1420,47.0,5,5467.0,790.0,10000,0,Mombasa
422,1423,30.0,4,8402.0,295.0,KES 5000,1,Nairobi
424,1425,36.0,12,57108.0,307.0,20000,0,Mombasa
425,1426,66.0,9,7665.0,601.0,2000,0,Mombasa
426,1427,29.0,8,11711.0,354.0,2000,0,Nairobi
427,1428,78.0,2,48622.0,933.0,10000,1,Mombasa
428,1429,36.0,14,3698.0,738.0,5000,1,Nairobi
429,1430,26.0,6,24131.5,543.0,20000,0,Nairobi
430,1431,45.0,9,31088.0,705.0,KES 10000,1,Nairobi
432,1433,33.0,10,17291.0,387.0,50000,0,Mombasa
433,1434,29.0,4,7539.0,337.0,5000,0,Mombasa
434,1435,42.0,13,29962.0,516.0,50000,0,Mombasa
435,1436,69.0,6,30510.0,672.0,KES 10000,0,Nairobi
437,1438,40.0,1,18628.0,185.0,KES 20000,0,Mombasa
438,1439,33.0,3,30826.0,339.0,50000,1,Mombasa
440,1441,56.0,13,8474.0,485.0,2000,1,Mombasa
441,1442,70.0,12,30276.0,895.0,50000,0,Nairobi
442,1443,59.0,12,51216.0,223.0,20000,0,Mombasa
443,1444,75.0,11,39549.0,601.0,20000,1,Nairobi
444,1445,56.0,6,13421.0,798.0,KES 50000,1,Nairobi
445,1446,31.0,1,20132.0,954.0,2000,1,Nairobi
446,1447,22.0,12,55981.0,419.0,20000,0,Mombasa
447,1448,52.0,13,19027.0,598.0,10000,1,Mombasa
448,1449,35.0,10,55053.0,614.0,50000,1,Nairobi
450,1451,75.0,8,22471.0,480.0,5000,1,Nairobi
453,1454,63.0,14,20610.0,636.0,20000,1,Mombasa
454,1455,30.0,1,17872.0,525.0,KES 5000,1,Mombasa
456,1457,59.0,7,11372.0,909.0,10000,0,Mombasa
457,1458,26.0,12,13956.0,365.0,10000,0,Mombasa
458,1459,67.0,2,24131.5,419.0,2000,1,Nairobi
462,1463,46.0,6,41075.0,471.0,KES 20000,1,Mombasa
463,1464,54.0,9,55601.0,668.0,20000,1,Nairobi
464,1465,55.0,8,24131.5,542.0,50000,1,Mombasa
465,1466,25.0,1,29330.0,241.0,10000,1,Nairobi
466,1467,82.0,14,4790.0,394.0,10000,1,Nairobi
467,1468,34.0,11,4839.0,379.0,10000,0,Mombasa
468,1469,62.0,11,27125.0,485.0,50000,1,Nairobi
469,1470,21.0,14,22480.0,585.0,20000,0,Nairobi
470,1471,53.0,13,25589.0,584.0,20000,1,Mombasa
471,1472,48.0,4,38735.0,145.0,2000,1,Mombasa
472,1473,36.0,12,65087.0,713.0,50000,0,Mombasa
473,1474,78.0,5,25060.0,551.0,2000,1,Mombasa
474,1475,71.0,3,22004.0,777.0,50000,1,Mombasa
475,1476,56.0,3,13623.0,589.0,2000,0,Mombasa
477,1478,56.0,1,14678.0,593.0,10000,0,Nairobi
478,1479,84.0,3,19987.0,769.0,10000,1,Mombasa
480,1481,30.0,0,26559.0,480.0,5000,0,Nairobi
481,1482,75.0,11,24131.5,954.0,10000,1,Mombasa
482,1483,37.0,5,11833.0,678.0,KES 20000,0,Nairobi
483,1484,78.0,0,32065.0,615.0,5000,0,Mombasa
484,1485,56.0,9,95791.0,245.0,10000,0,Nairobi
485,1486,18.0,5,7413.0,242.0,2000,1,Mombasa
486,1487,20.0,0,9123.0,559.0,50000,1,Mombasa
487,1488,79.0,5,43412.0,529.0,5000,0,Nairobi
489,1490,42.0,7,62011.0,528.0,5000,1,Nairobi
490,1491,73.0,10,13249.0,818.0,KES 20000,1,Nairobi
491,1492,50.0,1,46496.0,639.0,5000,0,Nairobi
492,1493,55.0,1,32070.0,272.0,20000,1,Nairobi
494,1495,75.0,14,14729.0,339.0,2000,1,Mombasa
495,1496,61.0,12,24131.5,422.0,10000,1,Nairobi
496,1497,62.0,11,11789.0,417.0,2000,0,Nairobi
497,1498,49.0,3,53745.0,404.0,10000,1,Nairobi
498,1499,62.0,10,41932.0,249.0,10000,0,Nairobi
499,1500,78.0,2,16688.0,474.0,5000,1,Nairobi
500,1501,64.0,3,22035.0,388.0,50000,0,Mombasa
502,1503,53.0,11,23752.0,911.0,20000,1,Mombasa
503,1504,36.0,6,86360.0,718.0,20000,1,Mombasa
508,1509,66.0,14,17440.0,879.0,10000,0,Mombasa
509,1510,31.0,14,27806.0,531.0,KES 20000,0,Mombasa
510,1511,32.0,2,25329.0,705.0,50000,0,Mombasa
511,1512,48.0,10,6472.0,535.0,20000,0,Nairobi
512,1513,18.0,9,6379.0,233.0,2000,0,Nairobi
513,1514,71.0,6,57356.0,418.0,2000,0,Nairobi
514,1515,20.0,9,19300.0,526.0,2000,0,Mombasa
515,1516,33.0,1,18488.0,409.0,20000,0,Mombasa
516,1517,74.0,13,91877.0,456.0,5000,0,Nairobi
517,1518,29.0,1,48910.0,482.0,50000,0,Nairobi
518,1519,33.0,12,70634.0,484.0,20000,1,Nairobi
519,1520,41.0,3,58696.0,510.0,5000,1,Mombasa
520,1521,45.0,0,44197.0,288.0,5000,0,Mombasa
521,1522,25.0,2,68555.0,357.0,KES 20000,1,Mombasa
522,1523,53.0,12,12964.0,243.0,20000,1,Mombasa
523,1524,25.0,8,11555.0,696.0,5000,0,Mombasa
524,1525,75.0,6,24131.5,79.0,5000,0,Nairobi
526,1527,67.0,6,27376.0,777.0,20000,1,Mombasa
527,1528,45.0,12,5568.0,440.0,5000,0,Nairobi
529,1530,81.0,10,21011.0,428.0,20000,0,Nairobi
530,1531,44.0,3,809.0,487.0,2000,1,Mombasa
532,1533,34.0,14,24131.5,397.0,20000,0,Mombasa
533,1534,50.0,13,87972.0,806.0,10000,0,Mombasa
534,1535,46.0,3,29427.0,633.0,5000,1,Nairobi
535,1536,30.0,5,27412.0,315.0,5000,1,Mombasa
536,1537,63.0,10,68538.0,180.0,KES 50000,0,Nairobi
537,1538,52.0,10,20674.0,435.0,5000,0,Nairobi
